FECHA_HORA,HORA,PERIODO,KWH_REC_BESS,KWH_ENT_BESS,BESS_REC_kW,BESS_ENT_kW,KWH_REC_ION,KWH_ENT_ION,ION_REC_kW,ION_ENT_kW,BESS_NETO_kWh,ION_NETO_kWh,Mejora_BESS_ION_kWh,Mejora_BESS_ION_kW,IUSA_CON_BESS_ION_kW,IUSA_SIN_BESS_ION_kW
15/06/2026 05:05,5,Base,43.2,0.0,518.4000000000001,0.0,5914.6149291,0,70975.3791492,0,43.2,5914.6149291,5871.4149291,70456.97914920001,70975.3791492,70456.97914920001
15/06/2026 06:05,6,Base,43.2,0.0,518.4000000000001,0.0,5494.3410949,0,65932.0931388,0,43.2,5494.3410949,5451.1410949,65413.6931388,65932.0931388,65413.6931388
15/06/2026 07:05,7,Intermedio,43.2,0.0,518.4000000000001,0.0,6631.2391969,0,79574.8703628,0,43.2,6631.2391969,6588.0391969,79056.4703628,79574.8703628,79056.4703628
15/06/2026 08:05,8,Intermedio,57.6,0.0,691.2,0.0,7182.8358763,0,86194.0305156,0,57.6,7182.8358763,7125.235876299999,85502.83051559998,86194.0305156,85502.8305156
15/06/2026 09:05,9,Intermedio,43.2,0.0,518.4000000000001,0.0,7716.3264161,0,92595.9169932,0,43.2,7716.3264161,7673.1264161,92077.5169932,92595.9169932,92077.5169932
15/06/2026 10:05,10,Intermedio,43.2,0.0,518.4000000000001,0.0,7727.7013551,0,92732.41626120001,0,43.2,7727.7013551,7684.5013551,92214.0162612,92732.41626120001,92214.01626120001
15/06/2026 11:05,11,Intermedio,57.6,0.0,691.2,0.0,9023.6427613,0,108283.7131356,0,57.6,9023.6427613,8966.0427613,107592.51313559999,108283.7131356,107592.5131356
15/06/2026 12:05,12,Intermedio,43.2,0.0,518.4000000000001,0.0,8367.635070799999,0,100411.62084959999,0,43.2,8367.635070799999,8324.435070799998,99893.22084959998,100411.62084959999,99893.2208496
15/06/2026 13:05,13,Intermedio,43.2,0.0,518.4000000000001,0.0,8596.8295289,0,103161.95434679999,0,43.2,8596.8295289,8553.629528899999,102643.5543468,103161.95434679999,102643.5543468
15/06/2026 14:05,14,Intermedio,57.6,0.0,691.2,0.0,8124.4110107,0,97492.93212839999,0,57.6,8124.4110107,8066.811010699999,96801.73212839999,97492.93212839999,96801.73212839999
15/06/2026 15:05,15,Intermedio,43.2,0.0,518.4000000000001,0.0,8497.8020629,0,101973.6247548,0,43.2,8497.8020629,8454.6020629,101455.2247548,101973.6247548,101455.2247548
15/06/2026 16:05,16,Intermedio,43.2,0.0,518.4000000000001,0.0,8045.3206177,0,96543.8474124,0,43.2,8045.3206177,8002.1206177,96025.44741240001,96543.8474124,96025.44741240001
15/06/2026 17:05,17,Intermedio,57.6,0.0,691.2,0.0,8014.3063354000005,0,96171.6760248,0,57.6,8014.3063354000005,7956.7063354,95480.47602480001,96171.6760248,95480.47602480001
15/06/2026 18:05,18,Intermedio,28.8,921.5999999999999,345.6,11059.199999999999,6458.998291100001,0,77507.97949320001,0,-892.8,6458.998291100001,7351.798291100001,88221.57949320001,77507.97949320001,88221.5794932
15/06/2026 19:05,19,Intermedio,0.0,3830.4,0.0,45964.8,4706.5720825,0,56478.86499,0,-3830.4,4706.5720825,8536.9720825,102443.66499,56478.86499,102443.66499
15/06/2026 20:05,20,Intermedio,0.0,4017.6,0.0,48211.2,4526.4768677,0,54317.722412400006,0,-4017.6,4526.4768677,8544.0768677,102528.92241239999,54317.722412400006,102528.9224124
15/06/2026 21:05,21,Punta,0.0,3830.4,0.0,45964.8,3360.7386016,0,40328.8632192,0,-3830.4,3360.7386016,7191.1386016,86293.6632192,40328.8632192,86293.66321920001
15/06/2026 22:05,22,Punta,43.2,849.6,518.4000000000001,10195.2,6045.7256773,0,72548.7081276,0,-806.4,6045.7256773,6852.1256773,82225.5081276,72548.7081276,82225.5081276
15/06/2026 23:05,23,Intermedio,43.2,0.0,518.4000000000001,0.0,7171.2026367,0,86054.4316404,0,43.2,7171.2026367,7128.0026367,85536.0316404,86054.4316404,85536.0316404
16/06/2026 00:05,24,Intermedio,43.2,0.0,518.4000000000001,0.0,8402.9849241,0,100835.8190892,0,43.2,8402.9849241,8359.784924099999,100317.41908919998,100835.8190892,100317.4190892
16/06/2026 01:05,1,Intermedio,5097.6,0.0,61171.200000000004,0.0,13447.1369619,0,161365.64354279998,0,5097.6,13447.1369619,8349.5369619,100194.4435428,161365.64354279998,100194.44354279997
16/06/2026 02:05,2,Base,6033.6,0.0,72403.20000000001,0.0,13753.450561,0,165041.406732,0,6033.6,13753.450561,7719.850560999999,92638.20673199999,165041.406732,92638.20673199999
16/06/2026 03:05,3,Base,3916.8,0.0,47001.600000000006,0.0,12223.2340706,0,146678.8088472,0,3916.8,12223.2340706,8306.4340706,99677.2088472,146678.8088472,99677.2088472
16/06/2026 04:05,4,Base,57.6,0.0,691.2,0.0,8717.6194457,0,104611.4333484,0,57.6,8717.6194457,8660.0194457,103920.2333484,104611.4333484,103920.2333484
16/06/2026 05:05,5,Base,43.2,0.0,518.4000000000001,0.0,7788.4169922,0,93461.0039064,0,43.2,7788.4169922,7745.2169922,92942.6039064,93461.0039064,92942.6039064
16/06/2026 06:05,6,Base,43.2,0.0,518.4000000000001,0.0,6290.3099671,0,75483.71960519999,0,43.2,6290.3099671,6247.1099671,74965.3196052,75483.71960519999,74965.3196052
16/06/2026 07:05,7,Intermedio,57.6,0.0,691.2,0.0,7330.9697265,0,87971.63671800001,0,57.6,7330.9697265,7273.3697265,87280.436718,87971.63671800001,87280.43671800001
16/06/2026 08:05,8,Intermedio,43.2,0.0,518.4000000000001,0.0,8353.4236449,0,100241.08373879999,0,43.2,8353.4236449,8310.2236449,99722.6837388,100241.08373879999,99722.6837388
16/06/2026 09:05,9,Intermedio,43.2,0.0,518.4000000000001,0.0,8596.3472289,0,103156.16674680001,0,43.2,8596.3472289,8553.1472289,102637.76674679999,103156.16674680001,102637.76674680001
16/06/2026 10:05,10,Intermedio,57.6,0.0,691.2,0.0,7322.0041504,0,87864.0498048,0,57.6,7322.0041504,7264.4041504,87172.8498048,87864.0498048,87172.8498048
16/06/2026 11:05,11,Intermedio,43.2,0.0,518.4000000000001,0.0,9112.6194457,0,109351.4333484,0,43.2,9112.6194457,9069.4194457,108833.0333484,109351.4333484,108833.0333484
16/06/2026 12:05,12,Intermedio,43.2,0.0,518.4000000000001,0.0,9632.0855102,0,115585.02612240001,0,43.2,9632.0855102,9588.8855102,115066.62612239999,115585.02612240001,115066.62612240002
16/06/2026 13:05,13,Intermedio,43.2,0.0,518.4000000000001,0.0,8546.5937499,0,102559.12499879999,0,43.2,8546.5937499,8503.393749899999,102040.72499879998,102559.12499879999,102040.7249988
16/06/2026 14:05,14,Intermedio,57.6,0.0,691.2,0.0,6971.3656615,0,83656.387938,0,57.6,6971.3656615,6913.7656615,82965.18793799999,83656.387938,82965.187938
16/06/2026 15:05,15,Intermedio,43.2,0.0,518.4000000000001,0.0,7508.5076905,0,90102.092286,0,43.2,7508.5076905,7465.3076905,89583.692286,90102.092286,89583.692286
16/06/2026 16:05,16,Intermedio,43.2,0.0,518.4000000000001,0.0,8221.2374269,0,98654.84912279999,0,43.2,8221.2374269,8178.037426899999,98136.4491228,98654.84912279999,98136.4491228
16/06/2026 17:05,17,Intermedio,57.6,0.0,691.2,0.0,7422.6748658,0,89072.0983896,0,57.6,7422.6748658,7365.074865799999,88380.89838959998,89072.0983896,88380.8983896
16/06/2026 18:05,18,Intermedio,28.8,936.0,345.6,11232.0,6356.8695067,0,76282.4340804,0,-907.2,6356.8695067,7264.0695067,87168.8340804,76282.4340804,87168.83408039999
16/06/2026 19:05,19,Intermedio,0.0,3873.6,0.0,46483.2,4191.2927551,0,50295.51306120001,0,-3873.6,4191.2927551,8064.8927551,96778.71306119999,50295.51306120001,96778.7130612
16/06/2026 20:05,20,Intermedio,0.0,3686.4,0.0,44236.8,3978.501709,0,47742.020508,0,-3686.4,3978.501709,7664.901709,91978.820508,47742.020508,91978.820508
16/06/2026 21:05,21,Punta,0.0,3873.6,0.0,46483.2,3545.252472,0,42543.029664,0,-3873.6,3545.252472,7418.8524720000005,89026.22966400001,42543.029664,89026.229664
